gameid,team_name,match_date,result,gold_at15,xp_at15,cs_at15,gold_diff_at15,xp_diff_at15,cs_diff_at15,kills_at_15,assists_at15,deaths_at15
5662-7264,Rogue Warriors,2020-01-16 11:47:00,1,23177.0,27126.0,502.0,-825.0,-2004.0,15.0,2.0,3.0,5.0
5662-7264,Suning,2020-01-16 11:47:00,0,24002.0,29130.0,487.0,825.0,2004.0,-15.0,5.0,13.0,2.0
5662-7267,Suning,2020-01-16 12:49:00,0,24159.0,27320.0,462.0,13.0,-735.0,-53.0,5.0,9.0,2.0
5662-7267,Rogue Warriors,2020-01-16 12:49:00,1,24146.0,28055.0,515.0,-13.0,735.0,53.0,2.0,3.0,5.0
5663-7268,FunPlus Phoenix,2020-01-17 09:20:00,0,27609.0,31575.0,578.0,2253.0,1587.0,54.0,3.0,5.0,4.0
5663-7268,eStar,2020-01-17 09:20:00,1,25356.0,29988.0,524.0,-2253.0,-1587.0,-54.0,4.0,14.0,3.0
5663-7269,FunPlus Phoenix,2020-01-17 10:25:00,1,24280.0,28272.0,507.0,658.0,229.0,14.0,1.0,2.0,2.0
5663-7269,eStar,2020-01-17 10:25:00,0,23622.0,28043.0,493.0,-658.0,-229.0,-14.0,2.0,3.0,1.0
5663-7270,eStar,2020-01-17 11:25:00,1,27982.0,29317.0,498.0,4099.0,1606.0,32.0,8.0,16.0,5.0
5663-7270,FunPlus Phoenix,2020-01-17 11:25:00,0,23883.0,27711.0,466.0,-4099.0,-1606.0,-32.0,5.0,9.0,8.0
5664-7277,LNG Esports,2020-01-17 12:22:00,0,23760.0,29014.0,532.0,-245.0,-1334.0,-22.0,1.0,2.0,2.0
5664-7277,Top Esports,2020-01-17 12:22:00,1,24005.0,30348.0,554.0,245.0,1334.0,22.0,2.0,3.0,1.0
5664-7271,Top Esports,2020-01-17 13:16:00,1,24052.0,27122.0,477.0,1945.0,10.0,-4.0,3.0,4.0,2.0
5664-7271,LNG Esports,2020-01-17 13:16:00,0,22107.0,27112.0,481.0,-1945.0,-10.0,4.0,2.0,5.0,3.0
5665-7276,JD Gaming,2020-01-18 09:40:00,1,27307.0,30708.0,564.0,4234.0,1739.0,40.0,5.0,13.0,2.0
5665-7276,Team WE,2020-01-18 09:40:00,0,23073.0,28969.0,524.0,-4234.0,-1739.0,-40.0,2.0,5.0,5.0
5665-7272,Team WE,2020-01-18 10:33:00,0,22737.0,27982.0,486.0,-2314.0,-2345.0,-20.0,1.0,1.0,6.0
5665-7272,JD Gaming,2020-01-18 10:33:00,1,25051.0,30327.0,506.0,2314.0,2345.0,20.0,6.0,10.0,1.0
5666-7273,Bilibili Gaming,2020-01-18 11:22:00,0,23837.0,28919.0,545.0,39.0,-1550.0,1.0,0.0,0.0,2.0
5666-7273,Royal Never Give Up,2020-01-18 11:22:00,1,23798.0,30469.0,544.0,-39.0,1550.0,-1.0,2.0,3.0,0.0
5666-7274,Royal Never Give Up,2020-01-18 12:14:00,0,24516.0,30705.0,544.0,-1415.0,878.0,-4.0,1.0,1.0,1.0
5666-7274,Bilibili Gaming,2020-01-18 12:14:00,1,25931.0,29827.0,548.0,1415.0,-878.0,4.0,1.0,0.0,1.0
5666-7275,Bilibili Gaming,2020-01-18 13:23:00,1,24874.0,27126.0,476.0,1782.0,-651.0,-13.0,3.0,6.0,3.0
5666-7275,Royal Never Give Up,2020-01-18 13:23:00,0,23092.0,27777.0,489.0,-1782.0,651.0,13.0,3.0,5.0,3.0
ESPORTSTMNT03/1310083,Boavista FC,2020-01-18 17:39:00,1,23944.0,27459.0,473.0,834.0,122.0,-6.0,5.0,10.0,4.0
ESPORTSTMNT03/1310083,Estoril Praia eSports,2020-01-18 17:39:00,0,23110.0,27337.0,479.0,-834.0,-122.0,6.0,4.0,5.0,5.0
ESPORTSTMNT03/1300100,For The Win Esports,2020-01-18 19:17:35,1,22715.0,28068.0,523.0,-605.0,27.0,28.0,1.0,2.0,3.0
ESPORTSTMNT03/1300100,EGN Esports,2020-01-18 19:17:35,0,23320.0,28041.0,495.0,605.0,-27.0,-28.0,3.0,8.0,1.0
ESPORTSTMNT03/1310118,Cidade Curiosa Esports,2020-01-18 20:51:06,1,22633.0,26777.0,464.0,86.0,-1496.0,-20.0,3.0,8.0,2.0
ESPORTSTMNT03/1310118,SAMCLAN Esports Club,2020-01-18 20:51:06,0,22547.0,28273.0,484.0,-86.0,1496.0,20.0,2.0,4.0,3.0
ESPORTSTMNT03/1310152,GeekCase eSports,2020-01-18 22:23:54,0,23182.0,24358.0,382.0,-3439.0,-4227.0,-61.0,6.0,11.0,11.0
ESPORTSTMNT03/1310152,GTZ Bulls,2020-01-18 22:23:54,1,26621.0,28585.0,443.0,3439.0,4227.0,61.0,11.0,17.0,6.0
5667-7278,Vici Gaming,2020-01-19 09:23:00,0,22025.0,27183.0,477.0,-1470.0,-579.0,-34.0,0.0,0.0,1.0
5667-7278,Dominus Esports,2020-01-19 09:23:00,1,23495.0,27762.0,511.0,1470.0,579.0,34.0,1.0,1.0,0.0
5667-7279,Vici Gaming,2020-01-19 10:23:00,1,26356.0,29721.0,526.0,3011.0,1876.0,22.0,4.0,5.0,1.0
5667-7279,Dominus Esports,2020-01-19 10:23:00,0,23345.0,27845.0,504.0,-3011.0,-1876.0,-22.0,1.0,1.0,4.0
5667-7280,Vici Gaming,2020-01-19 11:22:00,1,24311.0,27254.0,485.0,400.0,-612.0,-12.0,3.0,6.0,3.0
5667-7280,Dominus Esports,2020-01-19 11:22:00,0,23911.0,27866.0,497.0,-400.0,612.0,12.0,3.0,0.0,3.0
ESPORTSTMNT03/1300164,SAMCLAN Esports Club,2020-01-19 11:58:06,1,23888.0,27811.0,464.0,2912.0,1548.0,44.0,5.0,9.0,3.0
ESPORTSTMNT03/1300164,GeekCase eSports,2020-01-19 11:58:06,0,20976.0,26263.0,420.0,-2912.0,-1548.0,-44.0,3.0,3.0,5.0
5668-7281,EDward Gaming,2020-01-19 12:27:00,1,23457.0,26844.0,490.0,-637.0,-874.0,-49.0,1.0,3.0,0.0
5668-7281,Top Esports,2020-01-19 12:27:00,0,24094.0,27718.0,539.0,637.0,874.0,49.0,0.0,0.0,1.0
ESPORTSTMNT03/1300175,GTZ Bulls,2020-01-19 13:11:32,0,21855.0,26516.0,457.0,-2018.0,-2411.0,-25.0,2.0,3.0,4.0
ESPORTSTMNT03/1300175,Boavista FC,2020-01-19 13:11:32,1,23873.0,28927.0,482.0,2018.0,2411.0,25.0,4.0,6.0,2.0
5668-7282,Top Esports,2020-01-19 13:19:00,1,23782.0,28487.0,518.0,1601.0,1329.0,56.0,3.0,10.0,2.0
5668-7282,EDward Gaming,2020-01-19 13:19:00,0,22181.0,27158.0,462.0,-1601.0,-1329.0,-56.0,2.0,4.0,3.0
5668-7283,EDward Gaming,2020-01-19 14:07:00,0,22459.0,28922.0,521.0,-409.0,421.0,10.0,0.0,0.0,1.0
5668-7283,Top Esports,2020-01-19 14:07:00,1,22868.0,28501.0,511.0,409.0,-421.0,-10.0,1.0,1.0,0.0
ESPORTSTMNT03/1300187,EGN Esports,2020-01-19 14:17:59,1,24389.0,26872.0,472.0,3101.0,2180.0,53.0,4.0,8.0,2.0
ESPORTSTMNT03/1300187,Cidade Curiosa Esports,2020-01-19 14:17:59,0,21288.0,24692.0,419.0,-3101.0,-2180.0,-53.0,2.0,3.0,4.0
ESPORTSTMNT03/1300199,Estoril Praia eSports,2020-01-19 15:19:00,0,24219.0,28095.0,452.0,-3368.0,-2644.0,-42.0,4.0,4.0,11.0
ESPORTSTMNT03/1300199,For The Win Esports,2020-01-19 15:19:00,1,27587.0,30739.0,494.0,3368.0,2644.0,42.0,11.0,17.0,4.0
ESPORTSTMNT03/1310222,LUL Esports,2020-01-19 15:19:07,1,27393.0,30350.0,457.0,4704.0,3751.0,39.0,9.0,8.0,3.0
ESPORTSTMNT03/1310222,Team Refuse,2020-01-19 15:19:07,0,22689.0,26599.0,418.0,-4704.0,-3751.0,-39.0,3.0,7.0,9.0
ESPORTSTMNT03/1310258,Greek Regenesis eSports,2020-01-19 17:05:14,0,23033.0,27794.0,428.0,-2464.0,-512.0,-82.0,6.0,14.0,3.0
